Points_0,Points_1,Points_2,Points_Magnitude,STLSolidLabeling,Point ID
0.000953457,0.156177,-0.0061541,0.156301,0,115
-0.00048126,0.0441563,-0.00621385,0.044594,0,116
-0.00200712,0.0432483,-0.00590043,0.0436951,0,117
-0.00323677,0.0437567,-0.00532606,0.0441983,0,118
-0.00220807,0.0418321,-0.00582821,0.0422938,0,119
-0.00159152,0.138032,-0.00604398,0.138173,0,120
-4.65217e-05,0.13774,-0.00624984,0.137882,0,121
0.000782589,0.136479,-0.00620082,0.136622,0,122
0.000708561,0.13871,-0.00620972,0.138851,0,123
0.00259509,0.189982,-0.00574231,0.190086,0,124
0.00316847,0.191147,-0.00544697,0.19125,0,125
0.00406226,0.191823,-0.00481733,0.191927,0,126
0.00276496,0.191635,-0.00566248,0.191738,0,127
0.00604019,0.00212771,-0.00186366,0.00666965,0,128
0.0061059,0.00302462,-0.00163557,0.00700753,0,129
0.00626702,0.00401231,-0.000825558,0.00748704,0,130
0.00592619,0.00293384,-0.0021994,0.00696883,0,131
0.00498854,0.17342,-0.00376886,0.173532,0,132
0.00551187,0.174887,-0.00295112,0.174999,0,133
0.00606294,0.174943,-0.00152663,0.175055,0,134
0.00521402,0.176298,-0.00345019,0.176408,0,135
0.0045848,0.188901,-0.00430775,0.189005,0,136
0.00408752,0.189779,-0.00478218,0.189884,0,137
0.00447561,0.19114,-0.00442109,0.191243,0,138
0.0031008,0.189298,-0.00547376,0.189403,0,139
-0.000603853,0.00614312,-0.00628812,0.00881153,0,140
0.000243593,0.0061438,-0.00631235,0.008812,0,141
0.000383671,0.00535344,-0.00630539,0.00828036,0,142
0.000950322,0.00693482,-0.00624516,0.00938067,0,143
0.00232646,0.00212666,0.00589564,0.00668533,0,144
0.0023246,0.00263427,0.00589637,0.0068637,0,145
0.00187446,0.0027688,0.00605453,0.00691645,0,146
0.00275977,0.00300735,0.00570567,0.00701535,0,147
-0.00632852,0.196086,-0.000175794,0.196188,0,148
-0.00627216,0.196239,-0.000860793,0.196341,0,149
-0.00620144,0.195885,-0.00127404,0.195988,0,150
-0.00622972,0.196745,-0.00112768,0.196847,0,151
0.00611579,0.185098,0.00138729,0.185204,0,152
0.00566108,0.185195,0.0026981,0.185301,0,153
0.00527633,0.183848,0.00338938,0.183955,0,154
0.00536929,0.18664,0.00324009,0.186746,0,155
0.00615447,0.194701,0.0012624,0.194802,0,156
0.00577751,0.194402,0.00246809,0.194504,0,157
0.00538331,0.19323,0.003239,0.193332,0,158
0.00560417,0.195276,0.00283978,0.195377,0,159
0.00537727,0.011517,0.00325011,0.0131194,0,160
0.00580942,0.010534,0.00239349,0.0122655,0,161
0.0061632,0.010267,0.00122196,0.012037,0,162
0.00569978,0.009818,0.002644,0.0116564,0,163
0.0022019,0.0863958,0.00586341,0.0866225,0,164
0.00256583,0.0847493,0.00571353,0.0849804,0,165
0.00378006,0.0836246,0.0049939,0.0838589,0,166
0.00159056,0.0842274,0.00605789,0.0844599,0,167
-0.00478185,0.00632207,0.00414001,0.00894284,0,168
-0.00422669,0.00620761,0.00470541,0.00886229,0,169
-0.00391841,0.00677422,0.00496506,0.009268,0,170
-0.00392641,0.00552655,0.00495874,0.00839932,0,171
0.0061147,0.0149082,-0.00139059,0.0161733,0,172
0.00565783,0.0148163,-0.00270412,0.0160887,0,173
0.00527417,0.0161582,-0.0033921,0.0173323,0,174
0.00536188,0.0133827,-0.00325168,0.014779,0,175
-0.00102898,0.197599,0.00626086,0.197701,0,176
-0.00127103,0.197117,0.00621625,0.197219,0,177
-0.00116706,0.196491,0.0062366,0.196593,0,178
-0.00161362,0.197262,0.00613624,0.197364,0,179
-0.00312217,0.0449624,-0.00539596,0.0453926,0,180
