Points_0,Points_1,Points_2,Points_Magnitude,Point ID
0.00475785,0.197429,0.0042054,0.197531,125
0.0048153,0.196543,0.0041395,0.196645,126
0.00401281,0.196935,0.00492137,0.197037,127
0.00492733,0.156759,-0.00400549,0.156888,128
0.00327507,0.154698,-0.00544026,0.154829,129
0.0049331,0.154395,-0.00399838,0.154526,130
0.00328291,0.152335,-0.00543553,0.152467,131
0.00123387,0.152638,-0.00622897,0.15277,132
0.00493885,0.152032,-0.00399127,0.152165,133
-0.00552518,0.19806,0.00312967,0.198162,134
-0.00522651,0.197146,0.0036064,0.197249,135
-0.00571995,0.19753,0.00275767,0.197632,136
-0.00630008,0.131539,0.000794673,0.131693,137
-0.00620919,0.133905,0.00132982,0.134056,138
-0.00527037,0.132142,0.003542,0.132295,139
-0.00494861,0.134508,0.00397916,0.134658,140
-0.00607294,0.136271,0.00185524,0.136419,141
-0.00311553,0.132745,0.00553317,0.132897,142
0.000495378,0.154777,-0.00633065,0.154907,143
0.00261494,0.156837,-0.00578659,0.156966,144
-0.000249945,0.156916,-0.00634508,0.157044,145
0.00110076,0.0450643,-0.00625386,0.0455094,146
-0.0018435,0.0446646,-0.00607651,0.0451137,147
-0.000701043,0.04274,-0.00631118,0.0432092,148
-0.00347682,0.0423404,-0.00531359,0.0428139,149
-0.00439,0.044265,-0.00458807,0.0447181,150
-0.00244635,0.0404158,-0.00585985,0.0409116,151
-0.00309725,0.138323,-0.00554342,0.138469,152
-0.00080111,0.136771,-0.00629926,0.136918,153
-0.0008762,0.139001,-0.00628926,0.139146,154
0.00153774,0.137449,-0.00616099,0.137596,155
0.00161113,0.135218,-0.00614221,0.135367,156
0.00146414,0.13968,-0.0061789,0.139824,157
0.00201378,0.188817,-0.00602223,0.188923,158
0.00357928,0.190658,-0.00524512,0.190764,159
0.00219223,0.19047,-0.00595958,0.190576,160
0.00373389,0.192312,-0.0051362,0.192416,161
0.00236874,0.192123,-0.00589165,0.192228,162
0.00599366,0.0012308,-0.00209727,0.00646818,163
0.00626028,0.0031154,-0.00106366,0.00707306,164
0.00586664,0.00203693,-0.00243004,0.0066687,165
0.00619079,0.00392153,-0.00141301,0.0074633,166
0.00572115,0.00284307,-0.00275516,0.00695741,167
0.00584788,0.173476,-0.00247482,0.173592,168
0.00599093,0.176354,-0.00210506,0.176468,169
0.00635,0.175,3.88825e-19,0.175115,170
0.00497392,0.190261,-0.00394748,0.190367,171
0.00370936,0.188419,-0.00515395,0.188526,172
-0.00144897,0.00614245,-0.00618247,0.00883472,173
-0.000467585,0.00535277,-0.00633276,0.0083051,174
0.000104997,0.00693415,-0.00634913,0.00940239,175
0.00109337,0.00614447,-0.00625516,0.00883612,176
0.000525231,0.00456308,-0.00632824,0.00781948,177
0.00187991,0.00226119,0.00606535,0.00674058,178
0.00276677,0.00249973,0.00571555,0.00682431,179
0.00232712,0.00314188,0.00590822,0.00708477,180
0.00141637,0.00290334,0.00619002,0.00698225,181
0.00318542,0.00338042,0.00549323,0.00719373,182
-0.00632205,0.195732,-0.000595089,0.195835,183
-0.00616013,0.196392,-0.00154121,0.196494,184
-0.00612213,0.195532,-0.00168582,0.195635,185
0.00635,0.185,3.88825e-19,0.185109,186
0.00596951,0.18375,0.00216506,0.18386,187
0.00602787,0.186543,0.00199682,0.186651,188
0.0059879,0.193528,0.00211366,0.193632,189
0.0061255,0.195575,0.00167354,0.195678,190
0.00521914,0.194103,0.00361705,0.194207,191
0.00494289,0.192057,0.00398627,0.192162,192
0.00487362,0.0125,0.00407066,0.0140204,193
0.00596951,0.01125,0.00216506,0.0129184,194
0.00528867,0.010801,0.00351461,0.0125293,195
0.00617009,0.009551,0.00150081,0.0114693,196
0.00635,0.01,3.88825e-19,0.0118458,197
0.00564057,0.009102,0.00291658,0.0110981,198
0.00186172,0.0880423,0.00607096,0.088271,199
0.00351305,0.0852712,0.00528971,0.0855073,200
0.00123093,0.0858739,0.00622955,0.0861084,201
0.00295351,0.0831027,0.00562132,0.083345,202
0.00487362,0.0825,0.00407066,0.082744,203
0.000587231,0.0837055,0.00632279,0.083946,204
-0.00452737,0.00688867,0.00445257,0.0093689,205
-0.00361814,0.00609315,0.00521839,0.00880051,206
-0.00360972,0.00734082,0.00522421,0.00970619,207
0.00635,0.015,3.88825e-19,0.0162887,208
0.00596951,0.01625,-0.00216506,0.0174466,209
0.00602458,0.0134745,-0.00200672,0.0148958,210
-0.00137564,0.197744,0.0061992,0.197846,211
-0.00151227,0.196635,0.00616729,0.196738,212
-0.00195294,0.197406,0.00604223,0.197508,213
-0.00313301,0.0459577,-0.00552329,0.0463943,214
-0.000299577,0.0463573,-0.00634293,0.0467902,215
-0.00168529,0.0476504,-0.00612228,0.0480717,216
0.00596951,0.18375,-0.00216506,0.18386,217
0.0060218,0.186511,-0.00201506,0.186619,218
0.00508785,0.085,0.0037995,0.0852369,219
0.00379561,0.0877712,0.00509076,0.0880006,220
0.00528702,0.0875,0.00351709,0.0877301,221
0.00616506,0.00802448,0.00152135,0.010233,222
